feature,file,line,fixed_kind,fixed_token,center_align,status,notes
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_03.dart,70,height,_challengeShareSize,default-start,fail,missing_content_align_center
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,277,height,VitDensity.compact.controlHeight,default-start,fail,missing_content_align_center
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_02.dart,338,minHeight,AppSpacing.buttonHero + AppSpacing.x7 + AppSpacing.x5,default-start,fail,missing_content_align_center
arena,flutter_app/lib/features/arena/presentation/widgets/arena_governance_gate_summary_footer.dart,111,height,_governanceActionExtent,default-start,fail,missing_content_align_center
arena,flutter_app/lib/features/arena/presentation/widgets/arena_mode_detail_related.dart,182,minHeight,AppSpacing.arenaModeRelatedCardMinHeight,default-start,fail,missing_content_align_center
arena,flutter_app/lib/features/arena/presentation/widgets/arena_studio_footer.dart,180,height,AppSpacing.arenaStudioFooterToolButton,default-start,fail,missing_content_align_center
cross_module,flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_03.dart,247,height,AppSpacing.x6,default-start,fail,missing_content_align_center
cross_module,flutter_app/lib/features/cross_module/presentation/pages/tax_report_center_part_03.dart,327,height,AppSpacing.x6,default-start,fail,missing_content_align_center
cross_module,flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_common.dart,71,height,AppSpacing.x6,default-start,fail,missing_content_align_center
cross_module,flutter_app/lib/features/cross_module/presentation/widgets/smart_alert_center_history_settings.dart,228,height,AppSpacing.x6,default-start,fail,missing_content_align_center
dca,flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page_part_01.dart,437,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
dca,flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page_part_02.dart,68,height,AppSpacing.dcaMultiToggleHeight,default-start,fail,missing_content_align_center
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page_part_03.dart,268,height,AppSpacing.iconLg,default-start,fail,missing_content_align_center
dca,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page_part_03.dart,299,height,_dcaRebalanceToggleHeight,default-start,fail,missing_content_align_center
dca,flutter_app/lib/features/dca/presentation/widgets/dca_smart_rules_info_common.dart,199,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
earn,flutter_app/lib/features/earn/presentation/pages/staking_data_export_page.dart,373,height,AppSpacing.buttonStandard,default-start,fail,missing_content_align_center
earn,flutter_app/lib/features/earn/presentation/pages/staking_withdrawal_policy_page_part_01.dart,311,minHeight,timeline.penalty.contains('\n',default-start,fail,missing_content_align_center
earn,flutter_app/lib/features/earn/presentation/widgets/savings_smart_suggestions_suggestions.dart,332,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
earn,flutter_app/lib/features/earn/presentation/widgets/staking_risk_disclosure_overview.dart,223,minHeight,product.risks.length > 3,default-start,fail,missing_content_align_center
launchpad,flutter_app/lib/features/launchpad/presentation/widgets/launchpad_event_log_misc_widgets.dart,72,height,AppSpacing.launchpadBox18,default-start,fail,missing_content_align_center
launchpad,flutter_app/lib/features/launchpad/presentation/widgets/launchpad_notif_sound_categories.dart,261,height,AppSpacing.buttonCompact,default-start,fail,missing_content_align_center
launchpad,flutter_app/lib/features/launchpad/presentation/widgets/launchpad_notif_sound_footer.dart,130,height,height,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_01.dart,228,minHeight,_advancedActionMinHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_01.dart,285,height,_advancedChipRemoveIcon,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_02.dart,187,height,_advancedToggleSize,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/pages/market_overview_page_part_01.dart,287,height,AppSpacing.x7 + AppSpacing.x7 + AppSpacing.x3,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/pages/market_overview_page_part_01.dart,311,height,AppSpacing.x7 + AppSpacing.x7 + AppSpacing.x3,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/comparison_tool_content.dart,136,minHeight,AppSpacing.comparisonToolMetricMinHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/comparison_tool_tokens.dart,296,height,AppSpacing.comparisonToolPickerRowHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_calendar_filters.dart,150,height,AppSpacing.marketCalendarMiniStatHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_heatmap_panels.dart,291,height,AppSpacing.marketHeatmapTrendCardHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_heatmap_summary.dart,68,height,AppSpacing.marketHeatmapSummaryHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_heatmap_treemap.dart,29,height,AppSpacing.marketHeatmapTreemapHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_list_movers.dart,26,height,_marketMoverStripHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_screener_filters.dart,32,height,_presetHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_screener_results.dart,42,height,_rowHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_sector_controls.dart,89,height,AppSpacing.marketSectorControlHeight,default-start,fail,missing_content_align_center
markets,flutter_app/lib/features/markets/presentation/widgets/market_sector_distribution.dart,29,height,AppSpacing.marketSectorDistributionHeight,default-start,fail,missing_content_align_center
onboarding,flutter_app/lib/features/onboarding/presentation/pages/onboarding_flow_part_03.dart,182,height,AppSpacing.ctaHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_blacklist_add_page.dart,272,minHeight,AppSpacing.buttonCompact + AppSpacing.x2,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_page.dart,274,minHeight,AppSpacing.buttonCompact + AppSpacing.x2,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_fund_page_part_02.dart,29,height,_p2pInsuranceInputHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_fund_page_part_02.dart,184,height,_p2pInsuranceTourStepHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_fund_page_part_02.dart,219,height,_p2pInsuranceTourIconBox,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_large_transaction_justification_page.dart,287,minHeight,AppSpacing.ctaHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/pages/p2p_source_of_funds_page.dart,259,minHeight,AppSpacing.ctaHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_ad_analytics_page_part_01.dart,15,height,_p2pAdAnalyticsIdentityExtent,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_ad_analytics_page_part_01.dart,152,height,_p2pAdAnalyticsMetricCardExtent,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_ad_analytics_page_part_01.dart,241,height,_p2pAdAnalyticsQuickStatsExtent,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_create_ad_sections.dart,268,minHeight,AppSpacing.p2pMerchantCommerceTextAreaMinHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_dispute_actions_card.dart,84,minHeight,AppSpacing.buttonStandard,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_dispute_escalation_card.dart,151,minHeight,AppSpacing.inputHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_escrow_balance_page_common.dart,61,height,_p2pEscrowBalanceEmptyIconBox,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_escrow_balance_page_sections.dart,329,height,_p2pEscrowBalanceAccentLineHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_merchant_profile_ads_reviews.dart,135,height,_p2pMerchantActionHeight,default-start,fail,missing_content_align_center
p2p,flutter_app/lib/features/p2p/presentation/widgets/p2p_my_ads_stats_cards.dart,59,height,_p2pMyAdsStatExtent,default-start,fail,missing_content_align_center
