cluster,file,suggested_tier,violation_type,status,batch,notes
01_shared,flutter_app/lib/shared/widgets/vit_announcement_banner.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_balance_breakdown_row.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_community_rules_link.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_compact_product_card.dart,D,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_discovery_action_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_financial_safety_summary.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_market_ticker.dart,A,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_module_components.dart,E,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_next_action_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_skeleton.dart,E,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_task_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_trade_instrument_hero.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_trade_order_list.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/pages/home_page_part_02.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/home_portfolio_card.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/home_status_content.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,A,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_02.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_01.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_02.dart,C,-,done,0,-
