module,scope,path,container,boxDecoration,borderRadiusCircular,radiusCircular,edgeInsets,fixedWidth,fixedHeight,totalDivergence,exception,exceptionReason
admin,root_page,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/admin_dashboard_state_content.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart,0,0,0,0,0,0,0,0,no,-
