feature,file,suggested_tier,declared_tier,wiring_count,wiring_violations,structural_count,structural_violations,inner_gap_count,inner_gap_violations,status
admin,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart,standard,standard,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_dashboard_state_content.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,standard,,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart,standard,,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_waterfall_details.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_01.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_02.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart,standard,form,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page_part_01.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page_part_02.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page_part_04.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_02.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_02.dart,standard,,0,,0,,4,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_03.dart,standard,,0,,0,,3,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_02.dart,standard,,0,,0,,3,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_03.dart,standard,,0,,0,,1,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_02.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_02.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page_part_03.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_01.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page_part_02.dart,standard,,0,,0,,1,0,pass
