module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
app,flutter_app/lib/app/router/route_groups/root_routes.dart,29,root_routes.dart,,context.go,destination.routePath,,,dynamic_route_expression
admin,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart,58,ab_test_dashboard.dart,A/B Test Dashboard | Test Results & Analysis | SC-182 ABTestDashboard,context.go,AppRoutePaths.admin,/admin,AdminHome (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,62,admin_home.dart,Admin Dashboard | DCA Analytics & Monitoring | SC-180 AdminHome,context.go,AppRoutePaths.adminSettings,/admin/settings,AdminSettingsPage (/admin/settings),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,45,admin_settings_page.dart,Admin Settings | Operations controls | SC-180 AdminSettingsPage,context.go,AppRoutePaths.admin,/admin,AdminHome (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,72,admin_settings_page.dart,Dashboard routing,context.go,dashboard.route,,,dynamic_route_expression
admin,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,63,analytics_dashboard.dart,Analytics Dashboard | DCA Event Analytics | SC-181 AnalyticsDashboard,context.go,AppRoutePaths.admin,/admin,AdminHome (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,72,funnel_dashboard.dart,Funnel Analytics | Conversion Funnel Tracking | SC-183 FunnelDashboard,context.go,AppRoutePaths.admin,/admin,AdminHome (/admin),
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,38,admin_home_dashboards_footer.dart,,context.go,dashboard.route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,105,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaCreator(user.id),/arena/creator/<user.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,147,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,144,arena_blocked_users_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,402,arena_blocked_users_page.dart,,Navigator.of(context).pop,false,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,410,arena_blocked_users_page.dart,,Navigator.of(context).pop,true,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,173,arena_challenge_detail_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,181,arena_challenge_detail_page.dart,Gửi bằng chứng,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,178,arena_challenge_detail_page.dart,Gửi bằng chứng,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,263,arena_challenge_detail_page.dart,Đã hiểu,Navigator.of(context).pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,146,arena_creator_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,154,arena_creator_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,151,arena_creator_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,155,arena_flow_map_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,164,arena_flow_map_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,161,arena_flow_map_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart,411,arena_governance_gate_page.dart,,context.go,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart,408,arena_governance_gate_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,94,arena_guide_page.dart,Áp dụng ngay - Tạo Challenge,context.go,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,104,arena_guide_page.dart,Áp dụng ngay - Tạo Challenge,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,114,arena_guide_page.dart,,context.go,AppRoutePaths.support,/support,SupportPage (/support),
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,141,arena_guide_page.dart,,context.go,_mode == _GuideMode.create ? AppRoutePaths.arenaStudio : AppRoutePaths.arena,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,154,arena_guide_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart,151,arena_guide_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,121,arena_home_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,129,arena_home_page.dart,,context.go,AppRoutePaths.home,/home,HomePage (/home),
arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,126,arena_home_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,148,arena_join_page.dart,,context.go,AppRoutePaths.arenaChallenge(widget.challengeId),/arena/challenge/<widget.challengeId>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,158,arena_join_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,166,arena_join_page.dart,,context.go,AppRoutePaths.arenaChallenge(widget.challengeId),/arena/challenge/<widget.challengeId>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,163,arena_join_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,130,arena_leaderboard_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,138,arena_leaderboard_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,135,arena_leaderboard_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,147,arena_mode_detail_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,155,arena_mode_detail_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,152,arena_mode_detail_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,143,arena_points_entry_detail_page.dart,,context.go,AppRoutePaths.arenaLedger,/arena/ledger,ArenaPointsLedgerPage (/arena/ledger),
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,140,arena_points_entry_detail_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,117,arena_points_ledger_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,158,arena_points_ledger_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,155,arena_points_ledger_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,71,arena_points_page.dart,,context.go,widget.referralRoute,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,89,arena_points_page.dart,,context.go,widget.leaderboardRoute,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,110,arena_points_page.dart,,context.go,widget.backRoute,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,107,arena_points_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,85,arena_prediction_bridge_foundation_page.dart,,context.go,route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,94,arena_prediction_bridge_foundation_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,91,arena_prediction_bridge_foundation_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,72,arena_production_ready_page.dart,,context.go,_resolvedRoute(route),,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,81,arena_production_ready_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart,78,arena_production_ready_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,143,arena_report_case_page.dart,Xem tất cả báo cáo,context.go,AppRoutePaths.arenaMyReports,/arena/my-reports,MyArenaReportsPage (/arena/my-reports),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,181,arena_report_case_page.dart,,context.go,AppRoutePaths.arenaChallenge(challengeId),/arena/challenge/<challengeId>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,207,arena_report_case_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,204,arena_report_case_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,50,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | SC-192 ArenaResolutionCenterPage,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,47,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | SC-192 ArenaResolutionCenterPage,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,144,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,153,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,141,arena_safety_center_page.dart,,context.pop,,,,back_or_close_modal
