module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
admin,admin/presentation/widgets/analytics_dashboard_sections.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
arena,arena/presentation/pages/arena_blocked_users_page.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/pages/arena_challenge_detail_page_part_02.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
arena,arena/presentation/pages/arena_creator_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
arena,arena/presentation/pages/arena_guide_page_part_01.dart,VitSegmentedChoice,primaryAccent,3,44,equal_expanded,-,pass,
arena,arena/presentation/pages/arena_guide_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
arena,arena/presentation/pages/arena_points_page_part_02.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/pages/arena_universal_preset_library_page_part_01.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/pages/my_arena_page_part_01.dart,VitChoicePill,chip,2,44,hug,-,pass,
arena,arena/presentation/pages/my_arena_page_part_03.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/widgets/arena_leaderboard_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/widgets/arena_leaderboard_controls.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/widgets/arena_leaderboard_controls.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
arena,arena/presentation/widgets/arena_points_ledger_page_sections.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/widgets/my_arena_reports_page_sections.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
auth,auth/presentation/pages/register_page.dart,VitSegmentedChoice,primaryAccent,3,44,equal_expanded,-,pass,
cross_module,cross_module/presentation/pages/tax_report_center_part_01.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/pages/tax_report_center_part_02.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
cross_module,cross_module/presentation/widgets/cross_module_analytics_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/widgets/smart_alert_center_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
cross_module,cross_module/presentation/widgets/unified_portfolio_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
dca,dca/presentation/pages/dca_dynamic_amount_page_part_01.dart,VitChoicePill,chip,1,44,hug,-,pass,
dca,dca/presentation/pages/dca_multi_asset_page_part_01.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/pages/dca_multi_asset_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/pages/dca_overview_demo.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dca,dca/presentation/pages/dca_page_part_02.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
dca,dca/presentation/pages/dca_rebalance_config_page_part_01.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
dca,dca/presentation/widgets/dca_backtester_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/widgets/dca_backtester_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/widgets/dca_performance_compare_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
