module,file,constant_name,value,core_token
arena,flutter_app/lib/app/theme/spacing/arena_spacing_tokens.dart,arenaCreatorAvatarGlyph,34,AppSpacing.x6
arena,flutter_app/lib/app/theme/spacing/arena_spacing_tokens.dart,arenaGovernancePillPadV,3,AppSpacing.x1
arena,flutter_app/lib/app/theme/spacing/arena_spacing_tokens.dart,arenaGuideSmallBadgePadV,3,AppSpacing.x1
arena,flutter_app/lib/app/theme/spacing/arena_spacing_tokens.dart,arenaHomeQuickChipIcon,13,AppSpacing.x4
arena,flutter_app/lib/app/theme/spacing/arena_spacing_tokens.dart,arenaModeCreatorIcon,34,AppSpacing.x6
auth,flutter_app/lib/app/theme/spacing/auth_spacing_tokens.dart,authHeroIconMd,34,AppSpacing.x6
auth,flutter_app/lib/app/theme/spacing/auth_spacing_tokens.dart,authLogoElevation,8,AppSpacing.x3
auth,flutter_app/lib/app/theme/spacing/auth_spacing_tokens.dart,authTextLetterSpacing,8,AppSpacing.x3
earn,flutter_app/lib/app/theme/spacing/earn_spacing_tokens.dart,earnWithdrawalBulletSize,5,AppSpacing.x2
earn,flutter_app/lib/app/theme/spacing/earn_spacing_tokens.dart,earnWithdrawalProcessIcon,21,AppSpacing.x5
earn,flutter_app/lib/app/theme/spacing/earn_spacing_tokens.dart,savingsWhatIfAssetFontSize,8,AppSpacing.x3
home,flutter_app/lib/app/theme/spacing/home_spacing_tokens.dart,homeActionRowGap,8,AppSpacing.x3
home,flutter_app/lib/app/theme/spacing/home_spacing_tokens.dart,homeAnnouncementDotRadius,3,AppSpacing.x1
home,flutter_app/lib/app/theme/spacing/home_spacing_tokens.dart,homeScrollShowThreshold,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolDistributionLegendRunGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolMarketCapRowGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolPickerQuickGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolPickerQuickHeight,34,AppSpacing.x6
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolPickerSearchIconGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolRemoveGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,comparisonToolTokenMetricGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAdvancedSignalAccentWidth,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAdvancedSignalBarHeight,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAnalyticsBreadthDot,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAnalyticsCompactGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAnalyticsFooterGap,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketAnalyticsTinyGap,3,AppSpacing.x1
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarDateHeaderGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarEventCountdownGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarEventMetaGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarEventSourceGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarEventTimeGap,5,AppSpacing.x2
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarEventTimeIcon,13,AppSpacing.x4
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarFilterGap,8,AppSpacing.x3
markets,flutter_app/lib/app/theme/spacing/markets_spacing_tokens.dart,marketCalendarGroupGap,8,AppSpacing.x3
