feature,route,page,page_file,screen_level,archetype,body_grade,density_score,density_priority,density_reason,shared_component_count,custom_body_count,relaxed_padding_count,loose_gap_count,relaxed_gap_count,large_gap_count,max_width_count,center_count,section_header_count,vit_card_count,source_files
predictions,'/markets/predictions/event/:eventId',PredictionEventDetailPage,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,L2_entityDetail,detail,B,19,P2_visual_density_review,body B; custom>27 by 14,27,41,0,0,0,0,0,6,0,9,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_01.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_02.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_03.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_04.dart;flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page_part_05.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_activity_holders.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_chart.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_comments.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_detail_tabs.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_header.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_order_book.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_related_arena.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_stats_position.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_controls.dart;flutter_app/lib/features/predictions/presentation/widgets/prediction_event_detail_trade_panel.dart
p2p,'/p2p/chat/:orderId',P2PChatPage,flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart,L3_fullscreenTool,fullscreenTool,Tool,14,P1_fullscreen_tool_visual_qa,body Tool; few dense sections/cards=0,9,7,0,0,0,0,2,1,0,0,flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_composer_actions.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_header_banners.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_chat_messages.dart
predictions,AppRoutePaths.marketsPredictionsSearch,PredictionsSearchPage,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart,L1_utilityHub,detail,B,14,P2_visual_density_review,body B; custom>7 by 2; few dense sections/cards=2,7,9,0,0,0,0,0,3,0,2,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_search_page_common.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_search_page_sections.dart
trade,'/trade/advanced-chart/:pairId',AdvancedChartPage,flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,22,10,0,0,0,0,1,0,0,5,flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_area_actions.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_header_toolbar.dart;flutter_app/lib/features/trade/presentation/widgets/advanced_chart_painter.dart
trade,'/trade/:pairId/futures',FuturesPage,flutter_app/lib/features/trade/presentation/pages/futures_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,42,21,0,0,0,0,0,0,0,6,flutter_app/lib/features/trade/presentation/pages/futures_page.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_03.dart
trade,AppRoutePaths.tradeBots,TradingBotsPage,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,P1_fullscreen_tool_visual_qa,body Tool,54,26,0,0,0,0,0,0,0,14,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_04.dart
enterprise_states,AppRoutePaths.enterpriseStates,EnterpriseStatesPage,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart,L3_fullscreenTool,fullscreenTool,Tool,12,P1_fullscreen_tool_visual_qa,body Tool,46,22,0,0,0,0,0,0,0,4,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_references.dart
profile,AppRoutePaths.profileApi,ApiManagementPage,flutter_app/lib/features/profile/presentation/pages/api_management_page.dart,L2_utilityDetail,detail,B,12,P2_visual_density_review,body B; few dense sections/cards=2,12,9,0,0,0,0,0,0,0,2,flutter_app/lib/features/profile/presentation/pages/api_management_page.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_docs.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_key_controls.dart;flutter_app/lib/features/profile/presentation/widgets/api_management_keys.dart
profile,AppRoutePaths.profileEdit,EditProfilePage,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart,L3_transactionFlow,detail,B,12,P2_visual_density_review,body B; few dense sections/cards=2,10,7,0,0,0,0,0,0,0,2,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart
p2p,AppRoutePaths.p2pWallet,P2PWalletPage,flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_page.dart,L2_detail,detail,A,8,P3_followup_review,few dense sections/cards=2,13,11,0,0,0,0,1,3,0,2,flutter_app/lib/features/p2p/presentation/pages/p2p_wallet_page.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_actions_history.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_balances.dart;flutter_app/lib/features/p2p/presentation/widgets/p2p_wallet_hero.dart
profile,AppRoutePaths.profileDevices,DeviceManagementPage,flutter_app/lib/features/profile/presentation/pages/device_management_page.dart,L2_utilityDetail,detail,B,8,P3_followup_review,body B,14,9,0,0,0,0,0,0,1,2,flutter_app/lib/features/profile/presentation/pages/device_management_page.dart;flutter_app/lib/features/profile/presentation/widgets/device_management_page_common.dart;flutter_app/lib/features/profile/presentation/widgets/device_management_page_sections.dart
trade,AppRoutePaths.tradeConvert,ConvertPage,flutter_app/lib/features/trade/presentation/pages/convert_page.dart,L2_detail,detail,B,8,P3_followup_review,body B,44,6,0,0,0,0,0,2,0,14,flutter_app/lib/features/trade/presentation/pages/convert_page.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/convert_page_part_02.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_amount_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/convert_page_header_widgets.dart
launchpad,AppRoutePaths.launchpadGasTracker,LaunchpadGasTrackerPage,flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart,L2_detail,detail,A,7,Pass_or_low_signal,custom>19 by 6,19,25,0,0,0,0,1,3,0,8,flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_01.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_02.dart;flutter_app/lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page_part_03.dart
p2p,'/p2p/ad-analytics/:adId',P2PAdAnalyticsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart,L2_entityDetail,detail,A,7,Pass_or_low_signal,custom>20 by 6,20,26,0,0,0,0,1,0,0,12,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_01.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_02.dart;flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page_part_03.dart
