"module","source_file","line","kind","target_expression","classification","fallback_detected","trigger_hint"
"arena","flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart","144","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart","402","Navigator.of(context).pop","false","modal_close","False",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart","410","Navigator.of(context).pop","true","modal_close","False",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart","178","context.pop","","fallback_to_parent_route","True","Gửi bằng chứng"
"arena","flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart","263","Navigator.of(context).pop","","modal_close","False","Đã hiểu"
"arena","flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart","151","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart","161","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart","408","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_guide_page_part_01.dart","151","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart","125","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart","163","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart","135","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart","152","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart","140","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart","155","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart","108","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart","91","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page_part_01.dart","78","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart","204","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart","47","context.pop","","fallback_to_parent_route","True","Chốt kết quả | Resolution · Open Arena | SC-192 ArenaResolutionCenterPage"
"arena","flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart","141","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart","150","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart","344","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart","177","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart","106","context.pop","","fallback_to_parent_route","True","Đóng"
"arena","flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart","174","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart","127","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/my_arena_page.dart","170","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart","151","context.pop","","fallback_to_parent_route","True",""
"arena","flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart","82","context.pop","","fallback_to_parent_route","True",""
"auth","flutter_app/lib/features/auth/presentation/pages/forgot_password_page.dart","86","context.pop","","fallback_to_parent_route","True",""
"auth","flutter_app/lib/features/auth/presentation/pages/reset_password_page.dart","105","context.pop","","fallback_to_parent_route","True",""
"auth","flutter_app/lib/features/auth/presentation/pages/two_fa_setup_page.dart","70","context.pop","","fallback_to_parent_route","True",""
"dca","flutter_app/lib/features/dca/presentation/pages/dca_backtester_page.dart","115","context.pop","","fallback_to_parent_route","True","Backtest report ready"
"dca","flutter_app/lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart","134","context.pop","","fallback_to_parent_route","True","Dynamic amount settings ready"
"dca","flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page_part_01.dart","169","context.pop","","fallback_to_parent_route","True","Add asset flow ready"
"dca","flutter_app/lib/features/dca/presentation/pages/dca_page_part_01.dart","123","context.pop","","fallback_to_parent_route","True",""
"dca","flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart","163","context.pop","","fallback_to_parent_route","True",""
"dca","flutter_app/lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart","143","context.pop","","fallback_to_parent_route","True","Portfolio report ready to share"
"dca","flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart","279","context.pop","","fallback_to_parent_route","True",""
"dca","flutter_app/lib/features/dca/presentation/pages/dca_schedule_config_page.dart","213","context.pop","","fallback_to_parent_route","True",""
"dca","flutter_app/lib/features/dca/presentation/pages/dca_smart_rules_page.dart","147","context.pop","","fallback_to_parent_route","True","Rule Trigger History | Create rule flow ready"
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_01.dart","149","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_01.dart","155","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_01.dart","161","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_01.dart","166","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_02.dart","212","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/auto_compound_settings_page_part_03.dart","20","Navigator.of(context).pop","","modal_close","False","Lãi kép là gì?"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_autopilot_page.dart","251","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_autopilot_page.dart","257","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_comparison_page.dart","224","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_01.dart","112","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","120","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","169","Navigator.of(context).pop","","modal_close","False","Thời gian | Sản phẩm liên kết | Milestone rewards | Tạo mục tiêu"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_goal_page_part_02.dart","264","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart","146","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_guide_page.dart","197","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_ladder_page.dart","334","Navigator.of(context).pop","","modal_close","False","Số bậc | APY bình quân | Lãi dự kiến/năm | Xác nhận tạo ladder"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","324","Navigator.of(context).pop","","modal_close","False",""
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","411","Navigator.of(context).pop","","modal_close","False","Lưu ý / Nhược điểm | Phù hợp với | Đăng ký sản phẩm theo chiến lược"
"earn","flutter_app/lib/features/earn/presentation/pages/savings_recommendations_page_part_02.dart","442","Navigator.of(context).pop","","modal_close","False",""
