screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
SC-101,'${AppRoutePaths.tradeCopyTargetMarketDefinition}/:productId',TargetMarketDefinitionPage,shared_shell,features/trade/presentation/pages/target_market_definition_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc138DepositUsdt,'${AppRoutePaths.walletDeposit}/:asset',DepositPage,shared_shell,features/wallet/presentation/pages/deposit_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc140WithdrawUsdt,'${AppRoutePaths.walletWithdraw}/:asset',WithdrawPage,shared_shell,features/wallet/presentation/pages/withdraw_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-190,'/arena/challenge/:challengeId',ArenaChallengeDetailPage,direct_vpc,features/arena/presentation/pages/arena_challenge_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-193,'/arena/creator/:creatorId',ArenaCreatorPage,direct_vpc,features/arena/presentation/pages/arena_creator_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-191,'/arena/join/:challengeId',ArenaJoinPage,direct_vpc,features/arena/presentation/pages/arena_join_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-200,'/arena/ledger/entry/:entryId',ArenaPointsEntryDetailPage,direct_vpc,features/arena/presentation/pages/arena_points_entry_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-189,'/arena/mode/:modeId',ArenaModeDetailPage,direct_vpc,features/arena/presentation/pages/arena_mode_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-202,'/arena/report/:caseId',ArenaReportCasePage,direct_vpc,features/arena/presentation/pages/arena_report_case_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-199,'/arena/trust/:userId',ArenaTrustBreakdownPage,direct_vpc,features/arena/presentation/pages/arena_trust_breakdown_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-170,'/dca/rebalance/:configId/edit',DCARebalanceConfig,direct_vpc,features/dca/presentation/pages/dca_rebalance_config_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-171,'/dca/rebalance/:configId/history',DCARebalanceDashboard,direct_vpc,features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-041,'/markets/predictions/advanced-chart/:eventId',PredictionAdvancedChartPage,direct_vpc,features/predictions/presentation/pages/prediction_advanced_chart_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-030,'/markets/predictions/event/:eventId',PredictionEventDetailPage,direct_vpc,features/predictions/presentation/pages/prediction_event_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-035,'/markets/predictions/receipt/:receiptId',PredictionOrderReceiptPage,direct_vpc,features/predictions/presentation/pages/prediction_order_receipt_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-042,'/markets/predictions/tournament/:tournamentId',PredictionTournamentDetailPage,direct_vpc,features/predictions/presentation/pages/prediction_tournaments_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-223,'/p2p/ad-analytics/:adId',P2PAdAnalyticsPage,direct_vpc,features/p2p/presentation/pages/p2p_ad_analytics_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-224,'/p2p/ad/:adId',P2PAdDetailPage,direct_vpc,features/p2p/presentation/pages/p2p_ad_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-217,'/p2p/chat/:orderId',P2PChatPage,direct_vpc,features/p2p/presentation/pages/p2p_chat_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-221,'/p2p/dispute/:orderId',P2PDisputePage,direct_vpc,features/p2p/presentation/pages/p2p_dispute_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-218,'/p2p/dispute/detail/:disputeId',P2PDisputeDetailPage,direct_vpc,features/p2p/presentation/pages/p2p_dispute_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-219,'/p2p/dispute/evidence/:disputeId',P2PDisputeEvidencePage,direct_vpc,features/p2p/presentation/pages/p2p_dispute_evidence_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-220,'/p2p/dispute/resolution/:disputeId',P2PDisputeResolutionPage,direct_vpc,features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-246,'/p2p/escrow/:orderId',P2PEscrowDetailPage,shared_shell,features/p2p/presentation/pages/p2p_escrow_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
