module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
app,flutter_app/lib/app/router/internal_surface_gate.dart,96,internal_surface_gate.dart,Restricted surface | Internal surface restricted,context.go,AppRoutePaths.home,/home,HomePage (/home),
app,flutter_app/lib/app/router/route_groups/root_routes.dart,31,root_routes.dart,,context.go,destination.routePath,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,19,back_navigation.dart,,context.go,safeFallback,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,25,back_navigation.dart,,context.go,safeFallback,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,22,back_navigation.dart,,context.pop,,,,back_or_close_modal
admin,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart,60,ab_test_dashboard.dart,A/B Test Dashboard | Test Results & Analysis | A/B test dashboard | SC-182 ABTestDashboard,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,68,admin_home.dart,Admin Dashboard | DCA Analytics & Monitoring | Admin dashboard | SC-180 AdminHome,context.go,AppRoutePaths.adminSettings,/admin/settings,InternalSurfaceGate (/admin/settings),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,48,admin_settings_page.dart,Admin Settings | Operations controls | SC-410 AdminSettingsPage,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,77,admin_settings_page.dart,Dashboard routing,context.go,dashboard.route,,,dynamic_route_expression
admin,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,67,analytics_dashboard.dart,Analytics Dashboard | DCA Event Analytics | Analytics dashboard | SC-181 AnalyticsDashboard,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,73,funnel_dashboard.dart,Funnel Analytics | Conversion Funnel Tracking | Funnel dashboard | SC-183 FunnelDashboard,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate (/admin),
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,39,admin_home_dashboards_footer.dart,,context.go,dashboard.route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,120,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaCreator(user.id),/arena/creator/<user.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,165,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
