direction,module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
inbound,markets,flutter_app/lib/features/markets/presentation/pages/hub/watchlist_page.dart,226,watchlist_page.dart,,context.go,"AppRoutePaths.tradePair( items[i].pair.id, )",/trade/<items[i].pair.id>,TradePage (/trade/:pairId),
inbound,markets,flutter_app/lib/features/markets/presentation/pages/pair/pair_detail_page.dart,165,pair_detail_page.dart,,context.go,AppRoutePaths.tradeAdvancedChart(pair.id),/trade/advanced-chart/<pair.id>,AdvancedChartPage (/trade/advanced-chart/:pairId),
inbound,profile,flutter_app/lib/features/profile/presentation/pages/vip_page.dart,134,vip_page.dart,,context.go,AppRoutePaths.tradePair('btcusdt'),/trade/btcusdt,TradePage (/trade/:pairId),
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/dashboard/bot_risk_dashboard_page.dart,118,bot_risk_dashboard_page.dart,Exposure by Asset | VaR Trend (7 days) | Safety Controls | Emergency Actions,context.go,snapshot.emergencyPath,,,dynamic_route_expression
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/dashboard/bot_risk_dashboard_page.dart,67,bot_risk_dashboard_page.dart,Thử lại | Giám sát rủi ro bot theo thời gian thực | Không tải được bảng rủi ro | Bảng giám sát rủi ro bot theo thời gian thực,context.go,path,,,dynamic_route_expression
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/hub/trading_bots_page.dart,190,trading_bots_page.dart,Hủy | Xóa | Xóa bot? | Bot sẽ dừng hoạt động và bị xóa khỏi danh sách.,Navigator.pop,context,,,back_or_close_modal
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/hub/trading_bots_page.dart,194,trading_bots_page.dart,Hủy | Xóa | Xóa bot? | Bot sẽ dừng hoạt động và bị xóa khỏi danh sách.,Navigator.pop,context,,,back_or_close_modal
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_emergency_stop_page.dart,192,bot_emergency_stop_page.dart,,context.go,result.redirectPath,,,dynamic_route_expression
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_risk_disclosure_page.dart,124,bot_risk_disclosure_page.dart,Help | Bot risk disclosure review,context.go,snapshot.nextPath,,,dynamic_route_expression
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_suitability_assessment_page.dart,151,bot_suitability_assessment_page.dart,,context.go,path,,,dynamic_route_expression
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/pages/settings/bot_terms_of_service_page.dart,178,bot_terms_of_service_page.dart,,context.go,AppRoutePaths.tradeBots,/trade/bots,TradingBotsPage (/trade/bots),
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/widgets/hub/trading_bots_page_create_bot_sheet.dart,147,trading_bots_page_create_bot_sheet.dart,Close,Navigator.pop,context,,,back_or_close_modal
