feature,route,page,page_file,screen_level,archetype,body_grade,official_density_score,visual_density_risk_score,visual_density_priority,tokenized_fixed_height_refs,tokenized_gap_refs,spacer_refs,manual_content_refs,bottom_inset_refs,root_top_chrome_refs,detail_top_chrome_refs,scroll_refs,grid_or_wrap_refs,root_causes,recommendation,source_files,unresolved_source_files
trade,AppRoutePaths.demoCopyCard,CopyTradingCardDemo,flutter_app/lib/features/trade/presentation/pages/copy_trading_card_demo.dart,L2_detail,detail,A,6,116,P0_CRITICAL_DENSITY_REVIEW,0,25,0,1,26,0,3,4,1,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/copy_trading_card_demo.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_card_demo_common.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_card_demo_sections.dart;flutter_app/lib/features/trade/presentation/widgets/copy_trading_card_demo_widgets.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeCopyProviderApply,ProviderApplicationPage,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,L2_detail,detail,A,0,101,P0_CRITICAL_DENSITY_REVIEW,0,24,0,0,25,0,3,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_common.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_progress_intro.dart;flutter_app/lib/features/trade/presentation/widgets/provider_application_steps.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeBots,TradingBotsPage,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart,L2_detail,detail,Tool,12,99,P0_CRITICAL_DENSITY_REVIEW,3,15,0,0,23,0,2,4,1,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/trading_bots_page_part_04.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,'/trade/:pairId/futures',FuturesPage,flutter_app/lib/features/trade/presentation/pages/futures_page.dart,L1_instrumentWorkspace,instrument,Tool,12,86,P0_CRITICAL_DENSITY_REVIEW,0,13,0,0,23,0,2,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/futures_page.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/futures_page_part_02.dart;flutter_app/lib/features/trade/presentation/widgets/trade_formatters.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_confirm_sheet.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
trade,AppRoutePaths.tradeCopyTransactionReporting,TransactionReportingPage,flutter_app/lib/features/trade/presentation/pages/transaction_reporting_page.dart,L2_utilityDetail,detail,A,0,86,P0_CRITICAL_DENSITY_REVIEW,2,12,2,0,23,0,2,3,1,very_high_vertical_gap_accumulation;spacer_inside_cards;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/transaction_reporting_page.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_actions.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_common.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_filters.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_notice.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_reports.dart;flutter_app/lib/features/trade/presentation/widgets/transaction_reporting_stats.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_compliance_section.dart,
trade,AppRoutePaths.tradeBotTaxReporting,BotTaxReportingPage,flutter_app/lib/features/trade/presentation/pages/bot_tax_reporting_page.dart,L2_utilityDetail,detail,A,0,83,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,30,0,3,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/bot_tax_reporting_page.dart;flutter_app/lib/features/trade/presentation/widgets/bot_tax_reporting_common.dart;flutter_app/lib/features/trade/presentation/widgets/bot_tax_reporting_notice_year.dart;flutter_app/lib/features/trade/presentation/widgets/bot_tax_reporting_reports.dart;flutter_app/lib/features/trade/presentation/widgets/bot_tax_reporting_summary.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeCopyActive,ActiveCopiesPage,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,L2_detail,detail,A,0,82,P0_CRITICAL_DENSITY_REVIEW,0,17,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart;flutter_app/lib/features/trade/presentation/pages/active_copies_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/active_copies_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/active_copies_page_part_03.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart,
trade,AppRoutePaths.tradeMargin,MarginTradingPage,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart,L1_instrumentWorkspace,instrument,A,0,82,P0_CRITICAL_DENSITY_REVIEW,0,17,0,0,23,0,2,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_04.dart;flutter_app/lib/features/trade/presentation/widgets/margin_trading_order_summary.dart;flutter_app/lib/features/trade/presentation/widgets/margin_trading_positions_orders.dart;flutter_app/lib/features/trade/presentation/widgets/trade_formatters.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_confirm_sheet.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
trade,AppRoutePaths.tradeMarginBtcusdt,MarginTradingPage,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart,L1_instrumentWorkspace,instrument,A,0,82,P0_CRITICAL_DENSITY_REVIEW,0,17,0,0,23,0,2,4,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_01.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_02.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_03.dart;flutter_app/lib/features/trade/presentation/pages/margin_trading_page_part_04.dart;flutter_app/lib/features/trade/presentation/widgets/margin_trading_order_summary.dart;flutter_app/lib/features/trade/presentation/widgets/margin_trading_positions_orders.dart;flutter_app/lib/features/trade/presentation/widgets/trade_formatters.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_confirm_sheet.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
trade,'/trade/:pairId',TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,L1_instrumentWorkspace,instrument,B,12,80,P0_CRITICAL_DENSITY_REVIEW,0,10,0,0,23,0,2,3,0,very_high_vertical_gap_accumulation;bottom_nav_inset_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/trade/presentation/pages/trade_page.dart;flutter_app/lib/features/trade/presentation/pages/trade_page_part_01.dart;flutter_app/lib/features/trade/presentation/widgets/trade_formatters.dart;flutter_app/lib/features/trade/presentation/widgets/trade_module_layout.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_hero.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_order_form.dart;flutter_app/lib/features/trade/presentation/widgets/vit_trade_simple_shell.dart,
