module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
dca,real_page,'/dca/rebalance/:configId/edit','/dca/rebalance/:configId/edit',AppRouteNames.sc408DcaRebalanceEdit,sc408DcaRebalanceEdit,DCARebalanceConfigPage,lib/app/router/route_groups/dca_routes.dart,84
dca,real_page,'/dca/rebalance/:configId/history','/dca/rebalance/:configId/history',AppRouteNames.sc409DcaRebalanceHistory,sc409DcaRebalanceHistory,DCARebalanceDashboardPage,lib/app/router/route_groups/dca_routes.dart,89
dca,real_page,AppRoutePaths.dca,dca,AppRouteNames.sc169Dca,sc169Dca,DCAPage,lib/app/router/route_groups/dca_routes.dart,21
dca,real_page,AppRoutePaths.dcaBacktester,dcaBacktester,AppRouteNames.sc176DcaBacktester,sc176DcaBacktester,DCABacktesterPage,lib/app/router/route_groups/dca_routes.dart,37
dca,real_page,AppRoutePaths.dcaDynamicAmount,dcaDynamicAmount,AppRouteNames.sc175DcaDynamicAmount,sc175DcaDynamicAmount,DCADynamicAmountPage,lib/app/router/route_groups/dca_routes.dart,32
dca,real_page,AppRoutePaths.dcaMultiAsset,dcaMultiAsset,AppRouteNames.sc177DcaMultiAsset,sc177DcaMultiAsset,DCAMultiAssetPage,lib/app/router/route_groups/dca_routes.dart,42
dca,real_page,AppRoutePaths.dcaPerformanceCompare,dcaPerformanceCompare,AppRouteNames.sc178DcaPerformanceCompare,sc178DcaPerformanceCompare,DCAPerformanceComparePage,lib/app/router/route_groups/dca_routes.dart,47
dca,real_page,AppRoutePaths.dcaPortfolioOptimizer,dcaPortfolioOptimizer,AppRouteNames.sc174DcaPortfolioOptimizer,sc174DcaPortfolioOptimizer,DCAPortfolioOptimizerPage,lib/app/router/route_groups/dca_routes.dart,26
dca,real_page,AppRoutePaths.dcaRebalanceConfig,dcaRebalanceConfig,AppRouteNames.sc170DcaRebalanceConfig,sc170DcaRebalanceConfig,DCARebalanceConfigPage,lib/app/router/route_groups/dca_routes.dart,58
dca,real_page,AppRoutePaths.dcaRebalanceDashboard,dcaRebalanceDashboard,AppRouteNames.sc171DcaRebalanceDashboard,sc171DcaRebalanceDashboard,DCARebalanceDashboardPage,lib/app/router/route_groups/dca_routes.dart,63
dca,real_page,AppRoutePaths.dcaScheduleAnalytics,dcaScheduleAnalytics,AppRouteNames.sc173DcaScheduleAnalytics,sc173DcaScheduleAnalytics,DCAScheduleAnalyticsPage,lib/app/router/route_groups/dca_routes.dart,76
dca,real_page,AppRoutePaths.dcaScheduleConfig,dcaScheduleConfig,AppRouteNames.sc172DcaScheduleConfig,sc172DcaScheduleConfig,DCAScheduleConfigPage,lib/app/router/route_groups/dca_routes.dart,71
dca,real_page,AppRoutePaths.dcaSmartRules,dcaSmartRules,AppRouteNames.sc179DcaSmartRules,sc179DcaSmartRules,DCASmartRulesPage,lib/app/router/route_groups/dca_routes.dart,53
