module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
launchpad,real_page,AppRoutePaths.launchpad,launchpad,AppRouteNames.sc295Launchpad,sc295Launchpad,LaunchpadPage,lib/app/router/route_groups/launchpad_routes.dart,34
launchpad,real_page,AppRoutePaths.launchpadAbiDiff,launchpadAbiDiff,AppRouteNames.sc308LaunchpadAbiDiff,sc308LaunchpadAbiDiff,LaunchpadAbiDiffPage,lib/app/router/route_groups/launchpad_routes.dart,103
launchpad,real_page,AppRoutePaths.launchpadAddressBook,launchpadAddressBook,AppRouteNames.sc309LaunchpadAddressBook,sc309LaunchpadAddressBook,LaunchpadAddressBookPage,lib/app/router/route_groups/launchpad_routes.dart,108
launchpad,real_page,AppRoutePaths.launchpadBatchClaim,launchpadBatchClaim,AppRouteNames.sc304LaunchpadBatchClaim,sc304LaunchpadBatchClaim,LaunchpadBatchClaimPage,lib/app/router/route_groups/launchpad_routes.dart,79
launchpad,real_page,AppRoutePaths.launchpadBridgeCompare,launchpadBridgeCompare,AppRouteNames.sc305LaunchpadBridgeCompare,sc305LaunchpadBridgeCompare,LaunchpadBridgeComparePage,lib/app/router/route_groups/launchpad_routes.dart,85
launchpad,real_page,AppRoutePaths.launchpadBridgeOrderTx001,launchpadBridgeOrderTx001,AppRouteNames.sc303LaunchpadBridgeOrder,sc303LaunchpadBridgeOrder,LaunchpadBridgeOrderPage,lib/app/router/route_groups/launchpad_routes.dart,167
launchpad,real_page,AppRoutePaths.launchpadClaimReceiptPos001,launchpadClaimReceiptPos001,AppRouteNames.sc302LaunchpadClaimReceipt,sc302LaunchpadClaimReceipt,LaunchpadClaimReceiptPage,lib/app/router/route_groups/launchpad_routes.dart,73
launchpad,real_page,AppRoutePaths.launchpadContractSample,launchpadContractSample,AppRouteNames.sc300LaunchpadContract,sc300LaunchpadContract,LaunchpadContractPage,lib/app/router/route_groups/launchpad_routes.dart,62
launchpad,real_page,AppRoutePaths.launchpadDcaBuilder,launchpadDcaBuilder,AppRouteNames.sc316LaunchpadDcaBuilder,sc316LaunchpadDcaBuilder,LaunchpadDcaBuilderPage,lib/app/router/route_groups/launchpad_routes.dart,150
launchpad,real_page,AppRoutePaths.launchpadEventLog,launchpadEventLog,AppRouteNames.sc307LaunchpadEventLog,sc307LaunchpadEventLog,LaunchpadEventLogPage,lib/app/router/route_groups/launchpad_routes.dart,97
launchpad,real_page,AppRoutePaths.launchpadGasTracker,launchpadGasTracker,AppRouteNames.sc311LaunchpadGasTracker,sc311LaunchpadGasTracker,LaunchpadGasTrackerPage,lib/app/router/route_groups/launchpad_routes.dart,120
launchpad,real_page,AppRoutePaths.launchpadIdoBridgeSample,launchpadIdoBridgeSample,AppRouteNames.sc299LaunchpadIdoBridge,sc299LaunchpadIdoBridge,LaunchpadIdoBridgePage,lib/app/router/route_groups/launchpad_routes.dart,56
launchpad,real_page,AppRoutePaths.launchpadLimitOrders,launchpadLimitOrders,AppRouteNames.sc315LaunchpadLimitOrders,sc315LaunchpadLimitOrders,LaunchpadLimitOrdersPage,lib/app/router/route_groups/launchpad_routes.dart,144
launchpad,real_page,AppRoutePaths.launchpadMultisig,launchpadMultisig,AppRouteNames.sc313LaunchpadMultisig,sc313LaunchpadMultisig,LaunchpadMultisigPage,lib/app/router/route_groups/launchpad_routes.dart,132
launchpad,real_page,AppRoutePaths.launchpadNotifSound,launchpadNotifSound,AppRouteNames.sc306LaunchpadNotifSound,sc306LaunchpadNotifSound,LaunchpadNotifSoundPage,lib/app/router/route_groups/launchpad_routes.dart,91
launchpad,real_page,AppRoutePaths.launchpadPerformance,launchpadPerformance,AppRouteNames.sc297LaunchpadPerformance,sc297LaunchpadPerformance,LaunchpadPerformancePage,lib/app/router/route_groups/launchpad_routes.dart,45
launchpad,real_page,AppRoutePaths.launchpadPortfolio,launchpadPortfolio,AppRouteNames.sc296LaunchpadPortfolio,sc296LaunchpadPortfolio,LaunchpadPortfolioPage,lib/app/router/route_groups/launchpad_routes.dart,39
launchpad,real_page,AppRoutePaths.launchpadRebalance,launchpadRebalance,AppRouteNames.sc312LaunchpadRebalance,sc312LaunchpadRebalance,LaunchpadRebalancePage,lib/app/router/route_groups/launchpad_routes.dart,126
launchpad,real_page,AppRoutePaths.launchpadReceiptSub001,launchpadReceiptSub001,AppRouteNames.sc301LaunchpadReceipt,sc301LaunchpadReceipt,LaunchpadReceiptPage,lib/app/router/route_groups/launchpad_routes.dart,68
launchpad,real_page,AppRoutePaths.launchpadRiskAnalytics,launchpadRiskAnalytics,AppRouteNames.sc317LaunchpadRiskAnalytics,sc317LaunchpadRiskAnalytics,LaunchpadRiskAnalyticsPage,lib/app/router/route_groups/launchpad_routes.dart,156
