module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
profile,real_page,AppRoutePaths.profile,profile,AppRouteNames.sc156Profile,sc156Profile,ProfileResponsiveEntry,lib/app/router/route_groups/profile_routes.dart,21
profile,real_page,AppRoutePaths.profileActivity,profileActivity,AppRouteNames.sc161ActivityLog,sc161ActivityLog,ActivityLogPage,lib/app/router/route_groups/profile_routes.dart,47
profile,real_page,AppRoutePaths.profileApi,profileApi,AppRouteNames.sc163ApiManagement,sc163ApiManagement,ApiManagementPage,lib/app/router/route_groups/profile_routes.dart,52
profile,real_page,AppRoutePaths.profileApiCreate,profileApiCreate,AppRouteNames.sc162ApiKeyCreate,sc162ApiKeyCreate,ApiKeyCreatePage,lib/app/router/route_groups/profile_routes.dart,57
profile,real_page,AppRoutePaths.profileDevices,profileDevices,AppRouteNames.sc165DeviceManagement,sc165DeviceManagement,DeviceManagementPage,lib/app/router/route_groups/profile_routes.dart,67
profile,real_page,AppRoutePaths.profileEdit,profileEdit,AppRouteNames.sc157EditProfile,sc157EditProfile,EditProfilePage,lib/app/router/route_groups/profile_routes.dart,27
profile,real_page,AppRoutePaths.profileKyc,profileKyc,AppRouteNames.sc159Kyc,sc159Kyc,KYCPage,lib/app/router/route_groups/profile_routes.dart,32
profile,real_page,AppRoutePaths.profileSecurity,profileSecurity,AppRouteNames.sc158Security,sc158Security,SecurityPage,lib/app/router/route_groups/profile_routes.dart,37
profile,real_page,AppRoutePaths.profileSettings,profileSettings,AppRouteNames.sc160Settings,sc160Settings,SettingsPage,lib/app/router/route_groups/profile_routes.dart,42
profile,real_page,AppRoutePaths.profileSubAccounts,profileSubAccounts,AppRouteNames.sc166SubAccount,sc166SubAccount,SubAccountPage,lib/app/router/route_groups/profile_routes.dart,72
profile,real_page,AppRoutePaths.profileVip,profileVip,AppRouteNames.sc164Vip,sc164Vip,VIPPage,lib/app/router/route_groups/profile_routes.dart,62
profile,real_page,AppRoutePaths.settingsSecurity,settingsSecurity,AppRouteNames.sc413SettingsSecurity,sc413SettingsSecurity,SecurityPage,lib/app/router/route_groups/profile_routes.dart,87
profile,real_page,AppRoutePaths.settingsSecurityBiometric,settingsSecurityBiometric,AppRouteNames.sc405SettingsSecurityBiometric,sc405SettingsSecurityBiometric,SecurityPage,lib/app/router/route_groups/profile_routes.dart,92
profile,real_page,AppRoutePaths.settingsSecurityChangePassword,settingsSecurityChangePassword,AppRouteNames.sc406SettingsSecurityChangePassword,sc406SettingsSecurityChangePassword,SecurityPage,lib/app/router/route_groups/profile_routes.dart,97
