module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
utility,real_page,'/referral/friend/:friendId','/referral/friend/:friendId',AppRouteNames.sc289ReferralFriendDetail,sc289ReferralFriendDetail,ReferralFriendDetailPage,lib/app/router/route_groups/utility_routes.dart,162
utility,real_page,AppRoutePaths.crossModuleAnalytics,crossModuleAnalytics,AppRouteNames.sc322CrossModuleAnalytics,sc322CrossModuleAnalytics,CrossModuleAnalyticsPage,lib/app/router/route_groups/utility_routes.dart,49
utility,real_page,AppRoutePaths.devDcaOverview,devDcaOverview,AppRouteNames.sc400DcaOverviewDemo,sc400DcaOverviewDemo,InternalSurfaceGate>DCAOverviewDemo,lib/app/router/route_groups/utility_routes.dart,100
utility,real_page,AppRoutePaths.devDesignSystem,devDesignSystem,AppRouteNames.sc399DesignSystem,sc399DesignSystem,InternalSurfaceGate>DesignSystemPage,lib/app/router/route_groups/utility_routes.dart,91
utility,real_page,AppRoutePaths.devShowcase,devShowcase,AppRouteNames.sc398MissingScreensShowcase,sc398MissingScreensShowcase,InternalSurfaceGate>MissingScreensShowcasePage,lib/app/router/route_groups/utility_routes.dart,82
utility,real_page,AppRoutePaths.enterpriseStates,enterpriseStates,AppRouteNames.sc320EnterpriseStates,sc320EnterpriseStates,EnterpriseStatesPage,lib/app/router/route_groups/utility_routes.dart,38
utility,real_page,AppRoutePaths.notifications,notifications,AppRouteNames.sc291Notifications,sc291Notifications,NotificationsPage,lib/app/router/route_groups/utility_routes.dart,123
utility,real_page,AppRoutePaths.performanceMonitor,performanceMonitor,AppRouteNames.sc326PerformanceMonitor,sc326PerformanceMonitor,InternalSurfaceGate>PerformanceMonitor,lib/app/router/route_groups/utility_routes.dart,73
utility,real_page,AppRoutePaths.referral,referral,AppRouteNames.sc290ReferralHome,sc290ReferralHome,ReferralHomePage,lib/app/router/route_groups/utility_routes.dart,142
utility,real_page,AppRoutePaths.referralHistory,referralHistory,AppRouteNames.sc286ReferralHistory,sc286ReferralHistory,ReferralHistoryPage,lib/app/router/route_groups/utility_routes.dart,147
utility,real_page,AppRoutePaths.referralRewards,referralRewards,AppRouteNames.sc287ReferralRewards,sc287ReferralRewards,ReferralRewardsPage,lib/app/router/route_groups/utility_routes.dart,152
utility,real_page,AppRoutePaths.referralRules,referralRules,AppRouteNames.sc288ReferralRules,sc288ReferralRules,ReferralRulesPage,lib/app/router/route_groups/utility_routes.dart,157
utility,real_page,AppRoutePaths.rewards,rewards,AppRouteNames.sc319RewardsHub,sc319RewardsHub,RewardsHubPage,lib/app/router/route_groups/utility_routes.dart,30
utility,real_page,AppRoutePaths.routeChecker,routeChecker,AppRouteNames.sc325RouteChecker,sc325RouteChecker,InternalSurfaceGate>RouteChecker,lib/app/router/route_groups/utility_routes.dart,64
utility,real_page,AppRoutePaths.search,search,AppRouteNames.sc283UnifiedSearch,sc283UnifiedSearch,UnifiedSearchPage,lib/app/router/route_groups/utility_routes.dart,118
utility,real_page,AppRoutePaths.smartAlerts,smartAlerts,AppRouteNames.sc323SmartAlertCenter,sc323SmartAlertCenter,SmartAlertCenterPage,lib/app/router/route_groups/utility_routes.dart,54
utility,real_page,AppRoutePaths.taxReports,taxReports,AppRouteNames.sc324TaxReportCenter,sc324TaxReportCenter,TaxReportCenterPage,lib/app/router/route_groups/utility_routes.dart,59
utility,real_page,AppRoutePaths.topicCrypto,topicCrypto,AppRouteNames.sc285TopicCrypto,sc285TopicCrypto,TopicHubPage,lib/app/router/route_groups/utility_routes.dart,133
utility,real_page,AppRoutePaths.topics,topics,AppRouteNames.sc284TopicHub,sc284TopicHub,TopicHubPage,lib/app/router/route_groups/utility_routes.dart,128
utility,real_page,AppRoutePaths.unifiedPortfolio,unifiedPortfolio,AppRouteNames.sc321UnifiedPortfolio,sc321UnifiedPortfolio,UnifiedPortfolioDashboardPage,lib/app/router/route_groups/utility_routes.dart,43
