sc,order,page,route,module,riskGrade,identityStatus,visualCaptureStatus,file,flags,identityFlags,legacyBlue,legacySurface,localDarkSurfacePalette,hardcodedControlHeight,directRadius,layout,primaryActionEmojiIcons,bottomNavModuleAccent,moduleLocalGradient,sampleLines
SC-001,1,LoginPage,/auth/login,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/login_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-002,2,RegisterPage,/auth/register,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/register_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-003,3,OTPPage,/auth/otp,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/otp_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-004,4,TwoFASetupPage,/auth/2fa-setup,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/two_fa_setup_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-005,5,ForgotPasswordPage,/auth/forgot-password,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/forgot_password_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-006,6,ResetPasswordPage,/auth/reset-password,auth,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/auth/presentation/reset_password_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-007,7,HomePage,/home,home,PASS,MODULE_ACCENT_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/home/presentation/home_page.dart,PASS,MODULE_ACCENT_PASS,0,0,0,0,0,0,0,0,0,
SC-008,8,MarketListPage,/markets,markets,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/markets/presentation/market_list_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-009,9,MarketOverviewPage,/markets/overview,markets,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/markets/presentation/market_overview_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-010,10,MarketMoversPage,/markets/movers,markets,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/markets/presentation/market_movers_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-011,11,MarketSectorsPage,/markets/sectors,markets,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/markets/presentation/market_sectors_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
SC-012,12,WatchlistPage,/markets/watchlist,markets,PASS,FOUNDATION_PASS,READY_FOR_VISUAL_AUDIT,flutter_app/lib/features/markets/presentation/watchlist_page.dart,PASS,FOUNDATION_PASS,0,0,0,0,0,0,0,0,0,
