order,module,routePattern,resolvedUrl,screenName,component,source,viewportImage,fullpageImage,status,error
1,auth,/auth/login,/auth/login,LoginPage,LoginPage,src/app/routeConfig.ts#authRoutes:449,screenshots/auth/001_auth_login-page__auth-login__viewport.png,screenshots/auth/001_auth_login-page__auth-login__fullpage.png,captured,
2,auth,/auth/register,/auth/register,RegisterPage,RegisterPage,src/app/routeConfig.ts#authRoutes:450,screenshots/auth/002_auth_register-page__auth-register__viewport.png,screenshots/auth/002_auth_register-page__auth-register__fullpage.png,captured,
3,auth,/auth/otp,/auth/otp,OTPPage,OTPPage,src/app/routeConfig.ts#authRoutes:451,screenshots/auth/003_auth_otp-page__auth-otp__viewport.png,screenshots/auth/003_auth_otp-page__auth-otp__fullpage.png,captured,
4,auth,/auth/2fa-setup,/auth/2fa-setup,TwoFASetupPage,TwoFASetupPage,src/app/routeConfig.ts#authRoutes:452,screenshots/auth/004_auth_two-fa-setup-page__auth-2fa-setup__viewport.png,screenshots/auth/004_auth_two-fa-setup-page__auth-2fa-setup__fullpage.png,captured,
5,auth,/auth/forgot-password,/auth/forgot-password,ForgotPasswordPage,ForgotPasswordPage,src/app/routeConfig.ts#authRoutes:453,screenshots/auth/005_auth_forgot-password-page__auth-forgot-password__viewport.png,screenshots/auth/005_auth_forgot-password-page__auth-forgot-password__fullpage.png,captured,
6,auth,/auth/reset-password,/auth/reset-password,ResetPasswordPage,ResetPasswordPage,src/app/routeConfig.ts#authRoutes:454,screenshots/auth/006_auth_reset-password-page__auth-reset-password__viewport.png,screenshots/auth/006_auth_reset-password-page__auth-reset-password__fullpage.png,captured,
7,home,/home,/home,HomePage,HomePage,src/app/routeConfig.ts#createPublicRoutes:484,screenshots/home/007_home_home-page__home__viewport.png,screenshots/home/007_home_home-page__home__fullpage.png,captured,
8,markets,/markets,/markets,MarketListPage,MarketListPage,src/app/routeConfig.ts#createPublicRoutes:488,screenshots/markets/008_markets_market-list-page__markets__viewport.png,screenshots/markets/008_markets_market-list-page__markets__fullpage.png,captured,
9,markets,/markets/overview,/markets/overview,MarketOverviewPage,MarketOverviewPage,src/app/routeConfig.ts#createPublicRoutes:489,screenshots/markets/009_markets_market-overview-page__markets-overview__viewport.png,screenshots/markets/009_markets_market-overview-page__markets-overview__fullpage.png,captured,
10,markets,/markets/movers,/markets/movers,MarketMoversPage,MarketMoversPage,src/app/routeConfig.ts#createPublicRoutes:490,screenshots/markets/010_markets_market-movers-page__markets-movers__viewport.png,screenshots/markets/010_markets_market-movers-page__markets-movers__fullpage.png,captured,
11,markets,/markets/sectors,/markets/sectors,MarketSectorsPage,MarketSectorsPage,src/app/routeConfig.ts#createPublicRoutes:491,screenshots/markets/011_markets_market-sectors-page__markets-sectors__viewport.png,screenshots/markets/011_markets_market-sectors-page__markets-sectors__fullpage.png,captured,
12,markets,/markets/watchlist,/markets/watchlist,WatchlistPage,WatchlistPage,src/app/routeConfig.ts#createPublicRoutes:492,screenshots/markets/012_markets_watchlist-page__markets-watchlist__viewport.png,screenshots/markets/012_markets_watchlist-page__markets-watchlist__fullpage.png,captured,
13,markets,/markets/heatmap,/markets/heatmap,MarketHeatmapPage,MarketHeatmapPage,src/app/routeConfig.ts#createPublicRoutes:493,screenshots/markets/013_markets_market-heatmap-page__markets-heatmap__viewport.png,screenshots/markets/013_markets_market-heatmap-page__markets-heatmap__fullpage.png,captured,
14,markets,/markets/alerts,/markets/alerts,PriceAlertsPage,PriceAlertsPage,src/app/routeConfig.ts#createPublicRoutes:494,screenshots/markets/014_markets_price-alerts-page__markets-alerts__viewport.png,screenshots/markets/014_markets_price-alerts-page__markets-alerts__fullpage.png,captured,
15,markets,/markets/screener,/markets/screener,MarketScreenerPage,MarketScreenerPage,src/app/routeConfig.ts#createPublicRoutes:495,screenshots/markets/015_markets_market-screener-page__markets-screener__viewport.png,screenshots/markets/015_markets_market-screener-page__markets-screener__fullpage.png,captured,
16,markets,/markets/compare,/markets/compare,ComparisonToolPage,ComparisonToolPage,src/app/routeConfig.ts#createPublicRoutes:496,screenshots/markets/016_markets_comparison-tool-page__markets-compare__viewport.png,screenshots/markets/016_markets_comparison-tool-page__markets-compare__fullpage.png,captured,
17,markets,/markets/calendar,/markets/calendar,MarketCalendarPage,MarketCalendarPage,src/app/routeConfig.ts#createPublicRoutes:497,screenshots/markets/017_markets_market-calendar-page__markets-calendar__viewport.png,screenshots/markets/017_markets_market-calendar-page__markets-calendar__fullpage.png,captured,
18,markets,/markets/derivatives,/markets/derivatives,DerivativesOverviewPage,DerivativesOverviewPage,src/app/routeConfig.ts#createPublicRoutes:498,screenshots/markets/018_markets_derivatives-overview-page__markets-derivatives__viewport.png,screenshots/markets/018_markets_derivatives-overview-page__markets-derivatives__fullpage.png,captured,
19,markets,/markets/depth,/markets/depth,MarketDepthPage,MarketDepthPage,src/app/routeConfig.ts#createPublicRoutes:499,screenshots/markets/019_markets_market-depth-page__markets-depth__viewport.png,screenshots/markets/019_markets_market-depth-page__markets-depth__fullpage.png,captured,
20,markets,/markets/social-sentiment,/markets/social-sentiment,SocialSentimentPage,SocialSentimentPage,src/app/routeConfig.ts#createPublicRoutes:500,screenshots/markets/020_markets_social-sentiment-page__markets-social-sentiment__viewport.png,screenshots/markets/020_markets_social-sentiment-page__markets-social-sentiment__fullpage.png,captured,
21,markets,/markets/portfolio-tracker,/markets/portfolio-tracker,PortfolioTrackerPage,PortfolioTrackerPage,src/app/routeConfig.ts#createPublicRoutes:501,screenshots/markets/021_markets_portfolio-tracker-page__markets-portfolio-tracker__viewport.png,screenshots/markets/021_markets_portfolio-tracker-page__markets-portfolio-tracker__fullpage.png,captured,
22,markets,/markets/news,/markets/news,MarketNewsPage,MarketNewsPage,src/app/routeConfig.ts#createPublicRoutes:502,screenshots/markets/022_markets_market-news-page__markets-news__viewport.png,screenshots/markets/022_markets_market-news-page__markets-news__fullpage.png,captured,
23,markets,/markets/advanced-charts,/markets/advanced-charts,AdvancedChartsPage,AdvancedChartsPage,src/app/routeConfig.ts#createPublicRoutes:503,screenshots/markets/023_markets_advanced-charts-page__markets-advanced-charts__viewport.png,screenshots/markets/023_markets_advanced-charts-page__markets-advanced-charts__fullpage.png,captured,
24,markets,/markets/unlocks,/markets/unlocks,TokenUnlocksPage,TokenUnlocksPage,src/app/routeConfig.ts#createPublicRoutes:504,screenshots/markets/024_markets_token-unlocks-page__markets-unlocks__viewport.png,screenshots/markets/024_markets_token-unlocks-page__markets-unlocks__fullpage.png,captured,
25,markets,/markets/signals,/markets/signals,SocialSignalsPage,SocialSignalsPage,src/app/routeConfig.ts#createPublicRoutes:505,screenshots/markets/025_markets_social-signals-page__markets-signals__viewport.png,screenshots/markets/025_markets_social-signals-page__markets-signals__fullpage.png,captured,
26,markets,/markets/correlations,/markets/correlations,MarketCorrelationsPage,MarketCorrelationsPage,src/app/routeConfig.ts#createPublicRoutes:506,screenshots/markets/026_markets_market-correlations-page__markets-correlations__viewport.png,screenshots/markets/026_markets_market-correlations-page__markets-correlations__fullpage.png,captured,
27,predictions,/markets/predictions,/markets/predictions,PredictionsHomePage,PredictionsHomePage,src/app/routeConfig.ts#createPublicRoutes:510,screenshots/predictions/027_predictions_predictions-home-page__markets-predictions__viewport.png,screenshots/predictions/027_predictions_predictions-home-page__markets-predictions__fullpage.png,captured,
28,predictions,/markets/predictions/search,/markets/predictions/search,PredictionsSearchPage,PredictionsSearchPage,src/app/routeConfig.ts#createPublicRoutes:511,screenshots/predictions/028_predictions_predictions-search-page__markets-predictions-search__viewport.png,screenshots/predictions/028_predictions_predictions-search-page__markets-predictions-search__fullpage.png,captured,
29,predictions,/markets/predictions/breaking,/markets/predictions/breaking,PredictionsBreakingPage,PredictionsBreakingPage,src/app/routeConfig.ts#createPublicRoutes:512,screenshots/predictions/029_predictions_predictions-breaking-page__markets-predictions-breaking__viewport.png,screenshots/predictions/029_predictions_predictions-breaking-page__markets-predictions-breaking__fullpage.png,captured,
30,predictions,/markets/predictions/event/:eventId,/markets/predictions/event/pred-1,PredictionEventDetailPage,PredictionEventDetailPage,src/app/routeConfig.ts#createPublicRoutes:513,screenshots/predictions/030_predictions_prediction-event-detail-page__markets-predictions-event-pred-1__viewport.png,screenshots/predictions/030_predictions_prediction-event-detail-page__markets-predictions-event-pred-1__fullpage.png,captured,
31,predictions,/markets/predictions/portfolio,/markets/predictions/portfolio,PredictionsPortfolioPage,PredictionsPortfolioPage,src/app/routeConfig.ts#createPublicRoutes:514,screenshots/predictions/031_predictions_predictions-portfolio-page__markets-predictions-portfolio__viewport.png,screenshots/predictions/031_predictions_predictions-portfolio-page__markets-predictions-portfolio__fullpage.png,captured,
32,predictions,/markets/predictions/rewards,/markets/predictions/rewards,PredictionsRewardsPage,PredictionsRewardsPage,src/app/routeConfig.ts#createPublicRoutes:515,screenshots/predictions/032_predictions_predictions-rewards-page__markets-predictions-rewards__viewport.png,screenshots/predictions/032_predictions_predictions-rewards-page__markets-predictions-rewards__fullpage.png,captured,
33,predictions,/markets/predictions/leaderboard,/markets/predictions/leaderboard,PredictionsLeaderboardPage,PredictionsLeaderboardPage,src/app/routeConfig.ts#createPublicRoutes:516,screenshots/predictions/033_predictions_predictions-leaderboard-page__markets-predictions-leaderboard__viewport.png,screenshots/predictions/033_predictions_predictions-leaderboard-page__markets-predictions-leaderboard__fullpage.png,captured,
34,predictions,/markets/predictions/activity,/markets/predictions/activity,PredictionsGlobalActivityPage,PredictionsGlobalActivityPage,src/app/routeConfig.ts#createPublicRoutes:517,screenshots/predictions/034_predictions_predictions-global-activity-page__markets-predictions-activity__viewport.png,screenshots/predictions/034_predictions_predictions-global-activity-page__markets-predictions-activity__fullpage.png,captured,
35,predictions,/markets/predictions/receipt/:orderId,/markets/predictions/receipt/p2p001,PredictionOrderReceiptPage,PredictionOrderReceiptPage,src/app/routeConfig.ts#createPublicRoutes:518,screenshots/predictions/035_predictions_prediction-order-receipt-page__markets-predictions-receipt-p2p001__viewport.png,screenshots/predictions/035_predictions_prediction-order-receipt-page__markets-predictions-receipt-p2p001__fullpage.png,captured,
36,predictions,/markets/predictions/risk-calculator,/markets/predictions/risk-calculator,PredictionRiskCalculatorPage,PredictionRiskCalculatorPage,src/app/routeConfig.ts#createPublicRoutes:519,screenshots/predictions/036_predictions_prediction-risk-calculator-page__markets-predictions-risk-calculator__viewport.png,screenshots/predictions/036_predictions_prediction-risk-calculator-page__markets-predictions-risk-calculator__fullpage.png,captured,
37,predictions,/markets/predictions/market-maker,/markets/predictions/market-maker,PredictionMarketMakerPage,PredictionMarketMakerPage,src/app/routeConfig.ts#createPublicRoutes:520,screenshots/predictions/037_predictions_prediction-market-maker-page__markets-predictions-market-maker__viewport.png,screenshots/predictions/037_predictions_prediction-market-maker-page__markets-predictions-market-maker__fullpage.png,captured,
